diagnosis_id,icd10_code,diagnosis_desc,diagnosis_category,severity,updated_at
D000043,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000044,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000045,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000046,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D000047,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000048,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000049,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000050,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000051,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000052,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000053,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000054,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000055,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000056,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D000057,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000058,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000059,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000060,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000061,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000062,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000063,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000064,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000065,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000066,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000067,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000068,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000069,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000070,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000071,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D000072,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000073,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000074,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D000075,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000076,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000077,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000078,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000079,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D000080,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000081,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000082,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000083,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000084,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D000085,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000086,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000087,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000088,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000089,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000090,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D000091,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000092,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000093,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000094,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000095,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D000096,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000097,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D000098,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D000099,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000100,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000101,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000102,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000103,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D000104,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000105,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000106,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000107,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000108,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000109,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000110,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000111,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000112,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000113,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000114,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000115,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000116,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000117,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000118,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000119,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D000120,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000121,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000122,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000123,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000124,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000125,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D000126,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000127,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000128,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D000129,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000130,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D000131,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000132,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000133,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000134,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000135,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000136,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D000137,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000138,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D000139,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000140,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000141,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D000142,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000143,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000144,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000145,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000146,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000147,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D000148,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000149,G35,Multiple sclerosis,Neurological,High,2026-06-06
D000150,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000151,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D000152,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D000153,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D000154,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D000155,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000156,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D000157,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000158,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000159,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000160,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000161,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000162,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000163,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000164,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000165,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000166,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000167,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000168,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000169,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D000170,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000171,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D000172,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D000173,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000174,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D000175,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000176,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000177,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000178,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000179,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D000180,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000181,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000182,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000183,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000184,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D000185,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000186,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000187,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000188,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000189,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000190,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D000191,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000192,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000193,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000194,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000195,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000196,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D000197,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Critical,2026-06-06
D000198,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000199,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000200,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000201,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D000202,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000203,J96.00,Acute respiratory failure unspecified,Respiratory,Medium,2026-06-06
D000204,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000205,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000206,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D000207,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000208,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000209,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D000210,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D000211,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000212,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D000213,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000214,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D000215,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000216,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000217,I21.0,ST elevation myocardial infarction,Cardiovascular,Low,2026-06-06
D000218,F32.9,Major depressive disorder single episode,Mental Health,High,2026-06-06
D000219,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000220,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000221,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000222,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000223,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000224,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D000225,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000226,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000227,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000228,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D000229,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000230,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000231,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000232,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000233,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000234,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000235,J96.00,Acute respiratory failure unspecified,Respiratory,Low,2026-06-06
D000236,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D000237,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D000238,F32.9,Major depressive disorder single episode,Mental Health,Low,2026-06-06
D000239,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000240,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000241,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D000242,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000243,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000244,J96.00,Acute respiratory failure unspecified,Respiratory,High,2026-06-06
D000245,I21.0,ST elevation myocardial infarction,Cardiovascular,Medium,2026-06-06
D000246,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000247,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000248,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000249,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000250,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000251,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000252,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000253,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000254,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000255,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000256,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000257,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D000258,K92.1,Melena,Gastrointestinal,Low,2026-06-06
D000259,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000260,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000261,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000262,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000263,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000264,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000265,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Low,2026-06-06
D000266,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000267,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000268,J44.1,COPD with acute exacerbation,Respiratory,Critical,2026-06-06
D000269,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000270,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000271,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D000272,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000273,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D000274,J44.1,COPD with acute exacerbation,Respiratory,Low,2026-06-06
D000275,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000276,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000277,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000278,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000279,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000280,G43.909,Migraine unspecified,Neurological,High,2026-06-06
D000281,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000282,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D000283,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000284,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D000285,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000286,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000287,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000288,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000289,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000290,I10,Essential hypertension,Cardiovascular,Medium,2026-06-06
D000291,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D000292,B97.29,Other coronavirus as cause of disease,Infectious,High,2026-06-06
D000293,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000294,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000295,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Critical,2026-06-06
D000296,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000297,S72.001,Fracture of femoral head,Musculoskeletal,Low,2026-06-06
D000298,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000299,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000300,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000301,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000302,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000303,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000304,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000305,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000306,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000307,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000308,K92.1,Melena,Gastrointestinal,High,2026-06-06
D000309,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000310,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000311,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000312,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000313,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000314,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000315,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000316,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D000317,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000318,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000319,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000320,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000321,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000322,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000323,I10,Essential hypertension,Cardiovascular,Critical,2026-06-06
D000324,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D000325,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000326,F41.1,Generalized anxiety disorder,Mental Health,Critical,2026-06-06
D000327,F41.1,Generalized anxiety disorder,Mental Health,Low,2026-06-06
D000328,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000329,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000330,K57.30,Diverticulosis of large intestine,Gastrointestinal,Medium,2026-06-06
D000331,G43.909,Migraine unspecified,Neurological,Low,2026-06-06
D000332,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000333,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000334,J18.9,Pneumonia unspecified,Respiratory,Low,2026-06-06
D000335,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000336,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000337,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000338,A41.9,Sepsis unspecified,Infectious,Critical,2026-06-06
D000339,G35,Multiple sclerosis,Neurological,Medium,2026-06-06
D000340,K57.30,Diverticulosis of large intestine,Gastrointestinal,Low,2026-06-06
D000341,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000342,N39.0,Urinary tract infection,Renal,Critical,2026-06-06
D000343,I10,Essential hypertension,Cardiovascular,Low,2026-06-06
D000344,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000345,N39.0,Urinary tract infection,Renal,High,2026-06-06
D000346,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D000347,F32.9,Major depressive disorder single episode,Mental Health,Critical,2026-06-06
D000348,K57.30,Diverticulosis of large intestine,Gastrointestinal,Critical,2026-06-06
D000349,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000350,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000351,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000352,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000353,I21.0,ST elevation myocardial infarction,Cardiovascular,High,2026-06-06
D000354,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
D000355,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,Medium,2026-06-06
D000356,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D000357,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000358,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D000359,A41.9,Sepsis unspecified,Infectious,Medium,2026-06-06
D000360,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000361,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000362,G43.909,Migraine unspecified,Neurological,Medium,2026-06-06
D000363,S72.001,Fracture of femoral head,Musculoskeletal,Critical,2026-06-06
D000364,A41.9,Sepsis unspecified,Infectious,Low,2026-06-06
D000365,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D000366,N18.3,Chronic kidney disease stage 3,Renal,Low,2026-06-06
D000367,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000368,F41.1,Generalized anxiety disorder,Mental Health,Medium,2026-06-06
D000369,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000370,E11.9,Type 2 diabetes without complications,Endocrine,Critical,2026-06-06
D000371,J18.9,Pneumonia unspecified,Respiratory,High,2026-06-06
D000372,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000373,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D000374,G43.909,Migraine unspecified,Neurological,Critical,2026-06-06
D000375,G35,Multiple sclerosis,Neurological,Low,2026-06-06
D000376,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000377,S72.001,Fracture of femoral head,Musculoskeletal,Medium,2026-06-06
D000378,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000379,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000380,J18.9,Pneumonia unspecified,Respiratory,Medium,2026-06-06
